E_CM [keV], S [keV.barn]
6.227875066570601, 48.38820838946149
9.146643275586605, 52.01842047554901
10.671814792769652, 55.0836439961154
12.150935121080167, 55.77378528241596
14.66620719902259, 57.403276839697995
16.13545941543185, 58.65590050437015
17.6924281820745, 59.908680805739166
19.633156855988222, 59.287146392656865
22.597976253876762, 60.29244071301024
25.97944926537389, 62.548479057673624
29.451928197738173, 64.61717991290999
32.829015381723636, 67.12321042573853
35.77519501268756, 69.19097146079383
39.430782243664055, 70.82249929513486
45.88781679771937, 72.7715297139814
49.35919927320572, 74.90272861125905
52.76589079289498, 75.72131198897277
54.35356035211929, 75.22414711318568
55.85022399047651, 74.9143197268256
