E_CM [keV], S [keV.barn]
62.70034864517709, 82.06177747874486
79.06215670683224, 65.7852835035782
97.28883723775158, 93.73769649519849
122.79155911676557, 104.4540705853569
131.5014251636186, 84.08443329867268
158.62142027035296, 115.81887577221849
161.7771851489388, 96.37883662609335
184.90520521132797, 124.02762248455564
207.1868860480764, 137.24663282157934
217.37446938650683, 130.9944094440027
219.52633188574228, 144.1722429506392
269.87788855587485, 148.3527310538871
288.68192550003073, 167.83769037861646
318.6684445531837, 175.42670499724758
325.9985075539789, 166.34575815034563
373.9325952657656, 188.0858768120375
385.10494831488177, 185.28585234570926
415.7025873142089, 210.7543458315494
431.11226374701823, 199.49435439476426
452.2594898770567, 211.4564315860298
478.40371888188895, 212.76452382408715
