E_CM [keV], S [keV.barn]
509.183531700088, 202.13217246329845
761.3902653637754, 269.8207752512389
1015.597647385727, 315.14101792247504
1266.9846709581814, 342.82776825823197
1521.0253322836104, 380.01204093919335
1767.5357754827962, 409.7216690594175
