E_CM [keV], S [keV.barn]
6.19717427398891, 50.138153566617596
9.115942483004918, 53.76836565270511
10.635631715798375, 57.146079383477954
12.11584850098681, 57.773722627737214
14.6289276651734, 59.528210269101834
16.10256570909433, 60.53084176560884
17.661727389492814, 61.658625982895266
19.664954105447826, 57.474703173459474
22.569468375050914, 61.91738980608376
25.95203784342596, 64.11093010870586
29.422323862034407, 66.30462704802481
32.79831458914195, 68.87315560289464
35.83221077033927, 70.94107327464678
39.31017198709314, 72.69728391967669
45.853826634503946, 74.70896901726137
49.32520910999028, 76.84016791453902
52.73190062967953, 77.65875129225275
54.31957018890385, 77.16158641646565
55.817330284138976, 76.78926098806429
