E_CM [keV], S [keV.barn]
4.368609140233726, 59.61576585976623
9.180665692821371, 63.392372704507466
14.07847714941569, 73.27368530884803
18.98150563439065, 82.84197621035055
24.017568343071794, 84.42821368948243
28.889620722036724, 84.60507095158593
33.95437708681136, 84.46968906510847
38.86555717863106, 82.29888355592651
43.94857314273789, 81.06792570951582
48.820625521702844, 81.24478297161933
53.687460872287154, 81.73466193656088
59.432713376460775, 52.0195116861435
64.07293405676128, 54.856270868113455
68.67859192404006, 82.2667988313856
73.70422057595997, 84.47907971619361
79.24894355175294, 55.54570116861426
83.6149441777963, 86.08566360600997
88.8202342445743, 88.76825959933218
93.69750365191996, 88.63209515859762
98.8949681761269, 91.78422370617692
