E_CM [keV], S [keV.barn]
16.337036220298813, 61.81818181818183
23.69204476542258, 64.06417112299467
33.370086553834284, 67.11229946524065
48.83262583383869, 66.79144385026738
73.19105242846906, 67.43315508021391
98.33507911130712, 70.96256684491979
123.10353382215118, 77.05882352941177
148.65000826947457, 84.27807486631016
173.41984122608747, 90.69518716577541
198.9614918132201, 96.7914438502674
224.11378797067096, 102.24598930481285
249.65268206626604, 107.7005347593583
274.8063564694856, 113.47593582887703
