E_CM [keV], S [keV.barn]
1.9347972823168291, 57.675829075662534
2.7521715352742007, 59.20474756980198
3.932782176412914, 53.63734006020681
5.605960574871773, 54.88641010607634
9.041001739198983, 53.21047263840919
10.994644449590325, 51.25902240265657
13.925293274276115, 43.323151054112245
14.140352865244104, 53.20101297255218
18.614109682854846, 52.6361920903398
18.52542531544536, 56.810269649746004
21.358521335980726, 53.46588361654848
22.798533751792164, 55.68929924569017
28.12513856932408, 54.98376583385475
28.977986569245246, 54.8430533042317
33.628742603477406, 55.94746929303777
33.87373316844611, 54.416580035178114
38.940566693107755, 55.93761547443671
43.78014652628261, 58.15472465967373
43.81266412766608, 56.62422955455811
48.71136687244724, 56.058620366857646
53.3236930141353, 58.97180329807306
58.127799100346365, 62.85854350707257
63.00876497164565, 63.12774983125334
72.91517832948215, 66.86589445574896
82.61798716047431, 70.18702547704797
92.33853286494845, 72.67334098646576
102.03542940478003, 76.27274384505853
111.76779969157546, 78.20251567988883
121.47947695930866, 81.10623894524724
131.3918026083058, 84.5661117324491
141.07983071139643, 88.5829223469825
151.34356816625365, 85.50301280503726
161.4151561583903, 91.46693797513879
