E_CM [keV], S [keV.barn]
6.259790987097707, 51.00344199511056
9.169973613679327, 53.65003843676632
10.475784837215093, 55.480113301891365
12.077663044607421, 56.388606095863366
14.6032702416322, 56.555096161171235
15.929027030396204, 57.649401286765965
17.451746275788985, 58.14464690116556
19.466248363840343, 57.16523654193762
22.357108724107114, 57.191276585430025
25.84446614448067, 58.54653618942744
29.330576967027476, 59.94778140214551
32.810454800440446, 61.5789546584668
35.845920508611904, 62.93733075703113
39.34699050507987, 63.786748665101456
45.93214352496309, 64.201103931631
49.43695331491138, 64.91256501353939
52.98040763748934, 64.19847222510782
54.50935987201593, 64.46378979590419
55.96787932933032, 63.99396092608363
