E_CM [keV], S [keV.barn]
6.119548731586706, 46.17682297618305
6.379464378467096, 46.58882355792872
6.550248280733827, 46.95546182986712
6.71978558517379, 47.368085710526174
6.980947829880948, 47.73410068355114
7.149238536494147, 48.19271017293083
7.410400781201302, 48.55872514595583
7.6703164280816925, 48.970725727701485
8.192640917495995, 49.7027556737515
8.80409715152396, 50.480147929608776
9.505931727992353, 51.256916886552666
10.206519706633975, 52.07967145221721
10.909600880929125, 52.81045480044046
11.79468533793189, 53.4940059421163
12.679769794934652, 54.177557083792145
13.656479192204602, 54.81449931783396
15.166732459329742, 55.76960101943999
16.054310111986034, 56.36118094367455
17.21426938979036, 56.904905362448304
18.999397477717054, 57.72018034115226
20.784525565643754, 58.53545531985621
22.66003199601088, 59.35010699964678
25.254825372421088, 60.297729114292224
26.689659471026978, 60.70162681016391
28.03286862936568, 61.15213341366962
30.186989674014676, 61.68900154439617
32.33986412083685, 62.27185528384337
34.49398516548583, 62.808723414569926
36.73848455257524, 63.344968246383104
38.1745652490079, 63.70288033353414
41.22872992458081, 64.3714723012888
44.19376285554007, 64.99470195923621
47.24917412893977, 65.61730831827023
49.58654505412311, 66.06095863372873
51.83353763686602, 66.50523224810063
53.990151877168536, 66.95012916138589
56.41665454696555, 67.43914178665166
58.66489372753524, 67.8374297923029
60.91188631027817, 68.28170340667478
63.24925723546152, 68.72535372213329
