E_CM [keV], S [keV.barn]
6.47538656492144, 52.38420363817663
9.483218269823354, 55.25091231398836
10.854493709015113, 57.00539425121008
12.48980354954194, 57.97968326951175
14.931758221212768, 58.22266693441726
16.387582835340307, 59.333924231198026
17.925879249098074, 59.57206068705726
19.81400566431, 58.52471730384384
22.885197316031107, 58.40326009431284
26.33197842299516, 59.8470359316682
29.959491181541825, 61.29178121083282
33.40876513887255, 63.01143248876486
36.49325199254915, 64.36131096230949
40.02624417469342, 65.34577911960834
46.62668873300882, 65.79497690651118
50.06765318911732, 66.59504338252096
53.675638619791854, 65.87876437716825
55.12190730751385, 65.93249915173841
56.56568314486921, 65.71035848573189
