# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
1.485309839612682126e+01,6.271790837921865924e-02,1.271714827065478781e-03
2.465141085572981794e+01,6.943791437240140474e-02,3.860024925165211895e-03
3.976541895775994107e+01,7.385189347117654401e-02,1.455147147077187619e-03
4.114704861866963626e+01,7.361306513840507049e-02,1.149738047198048396e-03
4.993362298454481873e+01,7.678495711128593970e-02,8.550479682634393175e-04
5.196349973674188760e+01,7.400127355133537255e-02,4.107581263179796438e-03
7.609129605553454212e+01,8.398082181518524980e-02,7.378981383731747501e-04
1.011449899948878510e+02,9.104109075926136718e-02,9.241506100400309620e-04
