# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
2.480076143481544477e+03,4.470065827954015636e-01,6.747418459476905994e-03
2.885061627301054159e+03,4.837734625078428663e-01,9.277700381780829009e-03
4.471121840205034459e+03,5.887008816053937998e-01,1.349483691895370097e-02
4.975965884317211021e+03,6.355040251826484798e-01,1.349930343602778748e-02
