# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
2.412022923292259868e+00,5.482493533255214380e-02,2.703200278765177655e-02
3.404621886788033791e+00,6.745168534434284324e-02,3.110971370868402530e-02
4.017869040348916343e+00,6.036583817356634685e-02,2.307755206281413007e-02
4.802325557750915408e+00,5.367851662125736056e-02,3.711320651750275867e-03
5.247481917357106340e+00,5.553491679394575303e-02,3.031380395974982156e-03
5.587883271693824483e+00,5.592763776071049686e-02,1.635434979439355507e-02
6.270019786848282983e+00,6.071429867109755935e-02,1.726676186624621218e-02
