# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
5.088223035242903052e+02,1.845042374843698929e-01,1.762793497892856109e-02
7.584587597832630763e+02,2.467633029222432994e-01,2.305747232899557631e-02
1.017473255221600084e+03,2.866706803130644188e-01,2.847033760941064529e-02
1.266373361737600590e+03,3.129958782938916384e-01,2.983188996434038565e-02
1.517899319223822431e+03,3.474626036215441305e-01,3.254943731764919912e-02
1.766799425739822937e+03,3.737878016023711836e-01,3.593386745704629792e-02
