E_CM [keV], S [keV.barn]
4.704048625241306, 49.73900453905149
9.55157301612146, 53.03607763343241
14.551377367350142, 60.55955548599151
19.543355767725785, 69.02214744091404
24.595333124641314, 70.28486461105021
29.65252778212553, 70.9215057129441
34.531355976417814, 70.4621223978713
39.61202848646111, 68.28142119267487
44.682266395367044, 67.35287212396301
49.55587728909064, 67.51956487713252
54.426879532529874, 67.99929566442319
59.323968278812565, 65.34864611050239
64.36029373402204, 68.48959148536542
69.42270569207491, 68.50015651901703
74.28327333437684, 70.23203944279226
79.35351124328272, 69.30349037408041
84.21016591015808, 71.50493034903735
89.44181405540778, 73.70715291907962
94.50292168831845, 73.87423696979178
99.73196118328383, 76.38949757395518
