E_CM [keV], S [keV.barn]
6.002178222987425, 51.463452809516326
9.379728178640377, 51.1574581311629
14.426488234987225, 53.046251369541366
14.51387801951271, 42.55947722648301
19.25836072416132, 58.22155266864921
19.290968852715608, 54.308577242134874
21.901575624771752, 56.035764595398305
23.587741952313877, 56.19580529034273
28.668414462357184, 54.015104085146305
29.573290029738615, 57.930035999373885
34.62526738665416, 59.192753169510055
34.48081337715867, 54.0272343089685
39.505399906088606, 58.57685083737671
44.17586215891898, 60.62138049773044
44.1889054103407, 59.05619032712471
48.854150362602404, 61.726796055720726
49.25262169353578, 58.91023634371571
53.70819637919342, 64.24127406479883
58.550503469504896, 68.16442322742208
63.59074190014088, 70.83581155110342
73.09046799186103, 78.36868054468613
82.80247300046955, 82.92807951166063
92.89599311316326, 86.70566598841754
102.80853811238066, 89.70026608232895
112.52576042155786, 93.63358898106115
122.42134919392711, 98.66293629676001
132.10726769969222, 106.35271560494596
141.82840298429593, 109.81648145249643
