E_CM [keV], S [keV.barn]
5.71232001252087, 57.74311352253751
9.134038501669458, 54.940004173622654
14.691477984140235, 36.493635225375556
14.159667153589318, 57.152285058430664
19.14649415692822, 50.44266485809678
18.5106688230384, 66.09218489148577
21.61219219532554, 60.00078255425704
23.48738783388982, 48.739044240400645
28.55475271285477, 48.447151502504084
29.39828098914858, 54.085454924874725
34.551726836393996, 48.62870409015022
34.423909641068455, 56.29773580968275
39.322047161936574, 54.90948455759593
43.66783180300502, 64.1624060934891
43.65739774624375, 64.78844949916522
48.503364983305524, 66.53041527545905
49.06615191986645, 55.26319908180295
53.49801752921537, 59.35126252086806
58.13008660267112, 73.92711811352248
63.15049822621037, 76.45242070116856
72.38659484557598, 84.78662353923201
82.23993113522533, 89.83644616026707
92.29640546744574, 93.94798622704502
102.36592237061768, 97.27697203672784
112.04481427378963, 101.54345784641063
121.52056813439066, 106.74822621035054
131.50922109766273, 114.92904841402333
140.81835611435727, 118.88094741235389
