! Elab, sigma
3.668490E+3, 2.542480E-9
3.769000E+3, 3.378840E-9
3.873490E+3, 4.486070E-9
3.983260E+3, 5.967340E-9
4.098320E+3, 7.945390E-9
4.218680E+3, 1.058060E-8
4.344320E+3, 1.408110E-8
4.477910E+3, 1.882100E-8
4.618100E+3, 2.516310E-8
4.764910E+3, 3.362150E-8
4.919420E+3, 4.495010E-8
5.082360E+3, 6.014880E-8
5.253750E+3, 8.047330E-8
5.434800E+3, 1.077490E-7
5.626710E+3, 1.444750E-7
5.829491E+3, 1.937460E-7
6.045540E+3, 2.603920E-7
6.273491E+3, 3.495900E-7
6.512701E+3, 4.679780E-7
6.766850E+3, 6.267320E-7
7.039701E+3, 8.418380E-7
7.334960E+3, 1.136140E-6
7.648920E+3, 1.531660E-6
7.985300E+3, 2.066350E-6
8.347840E+3, 2.792980E-6
8.740290E+3, 3.784610E-6
9.166371E+3, 5.141900E-6
9.626090E+3, 6.985940E-6
1.012530E+4, 9.502570E-6
1.066860E+4, 1.294050E-5
1.125990E+4, 1.762530E-5
1.191510E+4, 2.412000E-5
1.264630E+4, 3.319190E-5
1.345730E+4, 4.577950E-5
1.435530E+4, 6.316140E-5
1.535960E+4, 8.732820E-5
1.649790E+4, 1.212970E-4
1.780530E+4, 1.696150E-4
1.929170E+4, 2.373920E-4
2.103540E+4, 3.351360E-4
2.310060E+4, 4.770590E-4
2.557750E+4, 6.847810E-4
2.863150E+4, 9.956810E-4
3.248270E+4, 1.468210E-3
3.761060E+4, 2.219910E-3
4.495850E+4, 3.491870E-3
5.743760E+4, 5.996960E-3
1.056460E+5, 1.651720E-2
1.493010E+5, 2.492570E-2
2.050210E+5, 3.361000E-2
2.838410E+5, 4.300240E-2
3.995170E+5, 5.306240E-2
5.700480E+5, 6.323380E-2
8.454330E+5, 7.395170E-2
1.205900E+6, 8.176540E-2
1.861330E+6, 8.794190E-2
3.092280E+6, 9.046070E-2
6.489560E+6, 8.553050E-2
1.524830E+7, 6.578760E-2
2.316470E+7, 5.233080E-2
