! Elab, sigma
9.510100e+3, 3.56368E-10
9.714100e+3, 4.73022E-10
9.925100e+3, 6.28030E-10
1.014010e+4, 8.30515E-10
1.035010e+4, 1.081772E-9
1.056010e+4, 1.397656E-9
1.079010e+4, 1.834106E-9
1.103010e+4, 2.412831E-9
1.127010e+4, 3.145649E-9
1.152010e+4, 4.109125E-9
1.179010e+4, 5.429982E-9
1.206010e+4, 7.106502E-9
1.234010e+4, 9.303867E-9
1.264010e+4, 1.229071E-8
1.294010e+4, 1.607500E-8
1.327010e+4, 2.136326E-8
1.360010e+4, 2.808927E-8
1.395010e+4, 3.714114E-8
1.431010e+4, 4.895945E-8
1.469010e+4, 6.479413E-8
1.508010e+4, 8.540621E-8
1.550010e+4, 1.136136E-7
1.593010e+4, 1.503366E-7
1.638010e+4, 1.990878E-7
1.686010e+4, 2.652029E-7
1.736010e+4, 3.528637E-7
1.788010e+4, 4.686761E-7
1.843010e+4, 6.242513E-7
1.901010e+4, 8.328380E-7
1.962010e+4, 1.111773E-6
2.026010e+4, 1.483584E-6
2.093010e+4, 1.977337E-6
2.164010e+4, 2.640707E-6
2.240010e+4, 3.542573E-6
2.320010e+4, 4.748756E-6
2.405010e+4, 6.375967E-6
2.494010e+4, 8.535451E-6
2.589010e+4, 1.145330E-5
2.691010e+4, 1.542371E-5
2.799010e+4, 2.074963E-5
2.914010e+4, 2.792273E-5
3.037010e+4, 3.761872E-5
3.169010e+4, 5.076402E-5
3.311010e+4, 6.862416E-5
3.464010e+4, 9.292019E-5
3.629010e+4, 1.259792E-4
3.808010e+4, 1.712091E-4
4.002010e+4, 2.329935E-4
4.212010e+4, 3.171591E-4
4.442010e+4, 4.330570E-4
4.693010e+4, 5.919324E-4
4.969010e+4, 8.111110E-4
5.273010e+4, 1.113655E-3
5.609010e+4, 1.532109E-3
5.982010e+4, 2.112516E-3
6.399010e+4, 2.922171E-3
6.867010e+4, 4.054546E-3
7.393010e+4, 5.637597E-3
7.988010e+4, 7.860259E-3
8.666010e+4, 1.099840E-2
9.441010e+4, 1.543510E-2
1.033001e+5, 2.171701E-2
1.134001e+5, 3.049655E-2
1.251001e+5, 4.297715E-2
